,0,1,2
0,Delete your formspring immediately clitface who are you and why are you being Rude to me ,Rude Delete your formspring immediately clitface ,Yes
1,ayee that tootsyy girl iss fuckkin F A K E Yeah I know she was writing her own questionss funny shit, Calling someone else fake and being generally confronting fuckkin FAKE ,Yes
2,Lalaa you talk so much shit on here and you still have not stepped to amber like you said you were you fucking transvestite MAN up wtf u kan hop off now and if she got probs wit me i belive she shuwld step up the fuk and btw im not no transvestite i belive thts ur mom ,you fucking transvestite you fucking transvestite MAN up im not no transvestite i belive thts ur mom ,Yes
3,i have a headache D what would you give me if i came to your door and told you that i had one my Penis,My Penis penis ,Yes
4,its funny how everyone hates you DDDDD uh huh not everyone prob the same fake person like u anonomouss , Everyone hates you hates you fake person like u hates you everyone hates you fake person like you Q its funny how everyone hates you DDDDD A uh huh not everyone prob the same fake person like u anonomouss everyone hates you It s funny how everyone hates you everyone hates you everyone hates you ,Yes
5,it039 s called anonymous just tell me who u went wit at ssms it039 s not even a big deal who this is and y would u be scared to say the names of the ppl u went it wtf dnt mmsg me wit tht bullshit bye as soon as ur not anoymous ill let u no bye,wtf dnt mmsg me wit tht bullshit dnt mmsg me wit tht bullshit ,Yes
6,i just had a mini spaz attack S does that ever happen to you or am i freak answer nicely to this one yeah D you re a freak sweety,you re a freak You re a freak ,Yes
7,iightt if he breaks yur heart i break his dickk ahahaha lol ,i break his dickk I break his dick ,Yes
8,I WANT YU 2 DEEP THROAT MY DIK WILE I EAT UR PUSSY AND I WANT THAT 69 WITH U DOING ALL UR TRICKS I WANNA FINGER THT PUSSY AND LEAVE U WIT HIKIES 8 UM STALEE ,I WANT YU 2 DEEP THROAT MY DIK WILE I EAT UR PUSSY AND I WANT THAT 69 WITH U DOING ALL UR TRICKS I WANNA FINGER THT PUSSY U 2 DEEP THROAT MY DIK WILE I EAT UR PUSSY FINGER THT PUSSY AND LEAVE U ,Yes
9,809 9501 Alexis39 s Phone Number Ima post It On Myspace You little bitch haha amp you bettter nott ill kill you 3, 809 9501 Alexis s phone number Ima post it on myspace you l ittle bitch I ll kill you You little bitch haha you bettter nott ill kill you 3 ,Yes
10,i think mehan or how ever you spell that fine ass girls name can beat you up because you look mad soft ohk wtf u kan hop off mah shit wit tht bullshit u mad late kus those problems got solve d f and hoe dnt be ananomous if u gun talk shixt , you look mad hop off mah shit wit tht bullshit u mad hoe dnt be ananomous if u gun talk shixt ohk wtf u kan hop off mah shit wit tht bullshit u mad late kus those problems got solve d f and hoe dnt be ananomous you look mad soft hop off mah shit fine ass girls name can beat you up because you look mad soft mah shit wit tht bullshit u mad late if u gun talk shixt ,Yes
11,i neva asked tew b ur friend betch stopp formspringin mi pussi ahh hoe amp bring ur stoopid ass self amp stoopid ass dramma sumwhere else KAYKAY stoopid ugly lukin trick okk take a look dwn there vv FUKIN SYCO ASS AND UM OH YEAH stop usin trickk kus i sed dat tew u fukin fat ass possom lookin ahh no gettin guys scruumy dirtyy stank aSS KUNT , stopp formspringin mi pussi ahh hoe bring ur stoopid ass self stoopid ass dramma sumwhere else KAYKAY stoopid ugly lukin trick FUKIN SYCO ASS AND UM OH YEAH stop usin trickk kus i sed dat tew u fukin fat ass possom lookin ahh no gettin guys scruumy dirtyy stank aSS KUNT i neva asked tew b ur friend betch stopp formspringin mi pussi ahh hoe bring ur stoopid ass self stoopid ass dramma sumwhere else KAYKAY stoopid ugly lukin trick A okk take a look dwn there vv FUKIN SYCO ASS AND UM OH YEAH stop usin trickk kus i sed dat tew u fukin fat ass possom lookin ahh no gettin guys scruumy dirtyy stank aSS KUNT tew b ur friend betch stopp formspringin mi pussi ahh hoe bring ur stoopid ass self stoopid ass dramma sumwhere else KAYKAY stoopid ugly lukin trick A okk take a look dwn there vv FUKIN SYCO ASS AND UM OH YEAH stop usin trickk kus i sed dat tew u fukin fat ass possom lookin ahh no gettin guys scruumy dirtyy stank aSS KUNT ,Yes
12,Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr fuken boobs if she wants don39 t be jealous cuz yeww prolly don39 t gawt any it39 s ok tho and bitch wen she sayz write to her she Lmao haters 3, but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr fuken boobs Bitchezz pussy ass bitchez takin shit fuken boobs bitch ,Yes
13,Bitchh really yur saying shez fat now bitch yur probly the fat lonely ass flat chested bitch who ckant get none so stop hating AND PLEASE BITCH TAKE YUR SHIT OFF ANONYMUS DUMM ASS BITCH Lol the day the bitch takes it off anonymous is the day she grew some balls , Bitchh bitch your probly the fat lonely ass flat chested bitch who ckant get none BITCH TAKE YUR SHIT OFF ANONYMUS DUMM ASS BITCH bitch Bitchh Calling her a bitch fat and lonely ,Yes
14,BJ or HJ OMG o lolz, BJ HJ NAME ,Yes
15,i love my sister aujalaaaaa hahaha p all yur haters justtt too funny r lmfao lofl rofl ritee they got no life mmsgin ppl ANONOMOUS sayin dumshit,i love my sister aujalaaaaa hahaha p all yur haters justtt too funny r lmfao lofl rofl ritee they got no life mmsgin ppl ANONOMOUS sayin dumshit ,Yes
16,LMFAO LMFAO LMFAO LMFAO ROFL 3 peyton is a wanna be CASSIE lmfao thats mean ahaa its mean buh truee ,peyton is a wanna be CASSIE lmfao thats mean ahaa its mean buh truee Q LMFAO LMFAO LMFAO LMFAO ROFL 3 peyton is a wanna be CASSIE lmfao thats mean A ahaa its mean buh truee ,Yes
17,Lmao You So Dumb One Tv SHOW and You Said a Whole TV CHANNEL Lol Anywho How Are YOU Mr Ching LMAO AH SHEESH CAUGHT ME SEE THAT S WHAT HAPPENS WHEN THAT KUSH KICKS IN MAKES YOU FORGET SHYT LOL N IM GOOD MAMA WBU , Lmao You So Dumb Lmao You so Dumb ,Yes
18,dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever stephanie iloveyou alexis Haha I knoow huh but they don t matter I love youu too Stephanie 3,ayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm stupid fuckin cunts stupid fuckin cunts go suck your moms dick lil pussys ,Yes
19,omar be ugly dudeszz get at me I DNT LIKE HIM and whos this and maybe i will , Q omar be ugly dudeszz get at me A I DNT LIKE HIM and whos this and maybe i will omar be ugly ,Yes
20,PUSSY ASS anonomous,pussyass PUSSY ASS PUSSY ASS Q PUSSY ASS PUSSY ASS Pussy ass Pussy Ass pussy ass ,Yes
21,pussy ass hoe only reason u rappn cus u stay in spring n priscilla is in sunrise amp U no Dam Well U aint fin ta bring yo ugly ratchet as ova here uh huh weell if i stay in springs hoess y dnt u kome here d f like i sed h o p off mah shit , pussy ass hoe only reason u rappn cus u stay in spring U no Dam Well U aint fin ta bring yo ugly ratchet as ova here i sed h o p off mah shit pussy ass hoe U aint fin ta bring yo ugly ratchet as ova here hoess h o p off mah shit pussy ass hoe a bring yo ugly ratchet as ova here pussy ass hoe bring yo ugly ratchet as ova here Q pussy ass hoe only reason u rappn cus u stay in spring n priscilla is in sunrise U no Dam Well U aint fin ta bring yo ugly ratchet as ova here A uh huh weell if i stay in springs hoess y dnt u kome here d f like i sed h o p off mah shit The entire string is cyber bullying though I found it hard to understand whether or not a joke was involved pussy ass hoe ugly ratchet as hoess ,Yes
22,Pussy Ass Hoe get Straight Cus u Not Gun Du Shitt Cus if U Want The Head Up Orr Faddee Its Whatevaaa i Stay In Sunrisee But U Can Meet Me In Deepside HOE uh im sure we gun c each otha buh w e hoe if u wannah fade me bitch i saty in springs , Pussy Ass Hoe get Straight Cus u Not Gun Du Shitt w e hoe if u wannah fade me bitch Pussy Ass Hoe get Straight Cus u Not Gun Du Shitt Q Pussy Ass Hoe get Straight Cus u Not Gun Du Shitt Cus if U Want The Head Up Orr Faddee Its Whatevaaa i Stay In Sunrisee But U Can Meet Me In Deepside HOE Pussy Ass Hoe u Not Gun Du Shitt hoe if u wannah fade me bitch Q Pussy Ass Hoe get Straight Cus u Not Gun Du Shitt Cus if U Want The Head Up Orr Faddee Its Whatevaaa i Stay In Sunrisee But U Can Meet Me In Deepside HOE A uh im sure we gun c each otha buh w e hoe if u wannah fade me bitch i saty in springs Pussy Ass Hoe u Not Gun Du Shitt ,Yes
23,pussy as hoe u beta get in dnt fuk wit my dawq priscilla hoe cus i gets off bout that one bitch U Think cus u in coral spring we knt find u hoe my homeboy no df u stay amp he say he gun tel us if ya ass keep smakkkn demm lips amp amp dis b Trinaa Exitin yup im sure he does cunt all yall hoes kan kume find me , pussy as hoe hoe we knt find u ya ass keep smakkkn demm lips cunt hoe U Think cus u in coral spring we knt find u ya ass keep smakkkn demm lips cunt Q pussy as hoe u beta get in dnt fuk wit my dawq priscilla hoe cus i gets off bout that one bitch U Think cus u in coral spring we knt find u hoe my homeboy no df u stay he say he gun tel us if ya ass keep smakkkn demm lips dis b Trinaa Exitin A yup im sure he does cunt all yall hoes kan kume find me pussy as hoe hoe cus i gets off bout that one bitch ass keep smakkkn demm lips cunt all yall hoes pussy as hoe u beta get in Q pussy as hoe u beta get in dnt fuk wit my dawq priscilla hoe cus i gets off bout that one bitch U Think cus u in coral spring we knt find u hoe my homeboy no df u stay he say he gun tel us if ya ass keep smakkkn demm lips dis b Trinaa Exitin A yup im sure he does cunt all yall hoes kan kume find me ,Yes
